Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
0	"Q Gu, CH Chu"	Solving the QoS multicast routing problems using genetic algorithms	2004	Soft Computing in Communications				159	3/9/2017	Book chapter			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:OU6Ihb5iCvQC	0	0	175	200	0
4	"JC Hayya, DC Chatfield, XX He, CH CHU"	Supply chain information technologies metrics	2003	International Journal of Operations & Quantitative Management			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9662111985907200289	106	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:NaGl4SEjCO4C	9	1	0	0	4
0	"CH Chu, D Zhu"	Computational Intelligence for predicting corporate takeovers: A comparison of alternative methods	2003	3rd International Workshop on Computational Intelligence in Economics and ...				160	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:5ugPr518TE4C	0	0	0	0	0
73	"CH Chu, JH Gu, XD Hou, Q Gu"	A heuristic ant algorithm for solving QoS multicast routing problem	2002	"Evolutionary Computation, 2002. CEC'02. Proceedings of the 2002 Congress on ..."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5109447741108461460	13	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:Tyk-4Ss8FVUC	0	0	0	0	73
13	"X Wu, CH Chu, Y Wang, W Yan"	A genetic algorithm for integrated cell formation and layout decisions	2002	"Evolutionary Computation, 2002. CEC'02. Proceedings of the 2002 Congress on ..."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5904077237587934298	60	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:QIV2ME_5wuYC	0	0	0	0	13
5	"J Li, CH Chu, Y Wang, W Yan"	An improved fuzzy c-means algorithm for manufacturing cell formation	2002	"Fuzzy Systems, 2002. FUZZ-IEEE'02. Proceedings of the 2002 IEEE ..."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9378284657984990249	96	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:k_IJM867U9cC	0	0	0	0	5
157	"H Chou, G Premkumar, CH Chu"	Genetic algorithms for communications network design-an empirical study of the factors that influence performance	2001	IEEE Transactions on Evolutionary Computation			"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10063933629835601827,17513485527710930214"	2	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:u-x6o8ySG0sC	5	3	236	249	157
102	"D Zhu, G Premkumar, X Zhang, CH Chu"	Data mining for network intrusion detection: A comparison of alternative methods*	2001	Decision Sciences			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6028676289235961165	9	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:qjMakFHDy7sC	32	4	635	660	102
20	CH Chu	A heuristic genetic algorithm for grouping manufacturing cells	2001	"Evolutionary Computation, 2001. Proceedings of the 2001 Congress on"			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8187315888625681809	43	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:M3ejUd6NZC8C	1	0	310	317	20
6	"G Premkumar, C Chu, H Chou"	Telecommunications network design decision-a genetic algorithm approach	2001	Decision Sciences			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17364781238526449362	90	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:wbdj-CoPYUoC	31	2	483	506	6
